DR Number,Date Reported,Date Occurred,Time Occurred,Reporting District,Address,Cross Street,Location,MO Codes,Lat,Lon
191519215,10/17/2019,2019-10-17,1520,1526,LANKERSHIM BL,ERWIN ST,"(34.1831, -118.3856)",3003 3026 3029 3037 3101 3401 3701 4015,34.1831,-118.3856
191518670,10/5/2019,2019-10-04,1507,1526,ERWIN ST,LANKERSHIM BL,"(34.1831, -118.3878)",4015 3008 3025 3029 3037 3101 3401 3701,34.1831,-118.3878
191515782,8/17/2019,2019-08-17,1529,1505,TROOST AV,SHERMAN WY,"(34.2012, -118.3866)",3034 3006 3037 3028 3602 3101 3401 3701 4026,34.2012,-118.3866
191515783,8/17/2019,2019-08-17,1530,1505,TROOST AV,SHERMAN WY,"(34.2012, -118.3866)",3034 3006 3037 3026 3101 3401 3701 4026,34.2012,-118.3866
191520926,11/21/2019,2019-11-21,1515,1546,RIVERSIDE DR,BECK AV,"(34.1577, -118.3834)",3003 3025 3036 3101 4026,34.1577,-118.3834
191517096,9/9/2019,2019-09-09,1530,1525,RADFORD AV,GILMORE ST,"(34.1875, -118.3921)",3003 3037 3026 3101 3401 3701 4026,34.1875,-118.3921
191519466,10/24/2019,2019-10-21,740,1506,SATICOY ST,ELMER AV,"(34.2085, -118.3769)",3003 3025 3029 3036 3101 3401 3701 4015,34.2085,-118.3769
191521801,12/11/2019,2019-10-21,740,1506,SATICOY ST,ELMER AV,"(34.2085, -118.3769)",3003 3036 3029 3025 3101 3401 3701 4015,34.2085,-118.3769
191520053,11/4/2019,2019-11-04,655,1504,LANKERSHIM BL,RUNNYMEDE ST,"(34.2058, -118.3878)",4026 3008 3025 3035 3036 3101 3401 3701 3033,34.2058,-118.3878
191521912,12/13/2019,2019-12-13,745,1549,CAHUENGA BL,CHANDLER BL,"(34.1687, -118.3615)",3003 3025 3029 3036 3101 4015,34.1687,-118.3615
191508576,3/29/2019,2019-03-28,1610,1524,LAUREL CANYON BL,KITTRIDGE ST,"(34.1903, -118.3965)",3036 3003 3025 3101 3401 3701 4015,34.1903,-118.3965
191520559,11/13/2019,2019-11-13,815,1506,VALERIO ST,VINELAND AV,"(34.2048, -118.3703)",3003 3036 3029 3026 3101 3401 3701 4026,34.2048,-118.3703
191512455,6/13/2019,2019-06-12,1925,1545,RIVERSIDE DR,COLFAX AV,"(34.1577, -118.3877)",3004 3036 3026 3101 3701 4026,34.1577,-118.3877
191518277,10/1/2019,2019-09-26,740,1522,VICTORY BL,COLDWATER CANYON AV,"(34.1867, -118.4137)",3008 3025 3036 3101 3401 3701 4015,34.1867,-118.4137
191514310,7/19/2019,2019-07-19,1410,1522,VICTORY BL,COLDWATER CANYON AV,"(34.1867, -118.4137)",3008 3037 3025 3101 3401 3701 4026,34.1867,-118.4137
191522421,12/18/2019,2019-12-18,705,1504,SIMPSON AV,COHASSET ST,"(34.2067, -118.3891)",3032 3037 3025 3102 4015 3003,34.2067,-118.3891
191513828,7/10/2019,2019-07-09,1645,1523,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3004 3036 3026 3101 3401 3701 4009,34.1867,-118.4137
191517222,9/11/2019,2019-09-03,730,1512,BELLAIRE AV,BARBARA ANN,"(34.2003, -118.4094)",3003 3025 3036 3101 3401 3701 4015,34.2003,-118.4094
191519600,10/27/2019,2019-10-27,945,1581,COLDWATER CA AV,WOODBRIDGE ST,"(34.1478, -118.4071)",605,34.1478,-118.4071
191516059,8/22/2019,2019-08-22,1530,1527,KITTRIDGE ST,VINELAND AV,"(34.1903, -118.3703)",3003 3025 3029 3036 3101 3401 3701 4026,34.1903,-118.3703
191513872,7/11/2019,2019-07-10,2255,1581,MOORPARK ST,LAUREL CANYON BL,"(34.1504, -118.3965)",3036 3004 3025 3101 3401 3701 4026,34.1504,-118.3965
191520609,11/14/2019,2019-11-14,935,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3037 3030 3028 3101 3401 3701 4026,34.1524,-118.3703
181516625,8/22/2018,2018-08-21,1200,1517,ELMER AV,VANOWEN ST,"(34.194, -118.3768)",3006 3037 3030 3028 3101 3401 3701 4015,34.194,-118.3768
191518653,10/9/2019,2019-10-03,1315,1535,LANKERSHIM BL,CALIFA ST,"(34.1776, -118.3823)",4015 3004 3028 3030 3037 3101 3401 3701,34.1776,-118.3823
191513916,7/11/2019,2019-07-11,1355,1505,SHERMAN WY,KRAFT AV,"(34.2012, -118.3801)",3004 3037 3032 3025 3102 3401 3701 4026,34.2012,-118.3801
191512378,6/12/2019,2019-06-06,1515,1544,HUSTON ST,LAUREL CANYON BL,"(34.1594, -118.3965)",3004 3028 3030 3034 3036 3101 3401 3701 4015,34.1594,-118.3965
191512885,6/20/2019,2019-06-20,1815,1591,VENTURA BL,LAUREL CANYON BL,"(34.1436, -118.3953)",3004 3037 3030 3028 3101 3401 3701 4015,34.1436,-118.3953
191517639,9/18/2019,2019-09-18,1925,1557,HESBY ST,VINELAND AV,"(34.1618, -118.3704)",3004 3030 3028 3037 3101 3701 4015,34.1618,-118.3704
181512262,6/4/2018,2018-06-03,2045,1599,MULHOLLAND DR,SUNNY CT,"(34.1284, -118.3568)",3011 3034 3037 3103 3401 3701 4026,34.1284,-118.3568
