Location,Lat,Lon,Count
"(34.1831, -118.3856)",34.1831,-118.3856,11
"(34.1831, -118.3878)",34.1831,-118.3878,11
"(34.2012, -118.3866)",34.2012,-118.3866,13
"(34.1577, -118.3834)",34.1577,-118.3834,6
"(34.1875, -118.3921)",34.1875,-118.3921,7
"(34.2085, -118.3769)",34.2085,-118.3769,5
"(34.2058, -118.3878)",34.2058,-118.3878,17
"(34.1687, -118.3615)",34.1687,-118.3615,24
"(34.1903, -118.3965)",34.1903,-118.3965,21
"(34.2048, -118.3703)",34.2048,-118.3703,16
"(34.1577, -118.3877)",34.1577,-118.3877,35
"(34.1867, -118.4137)",34.1867,-118.4137,99
"(34.2067, -118.3891)",34.2067,-118.3891,1
"(34.2003, -118.4094)",34.2003,-118.4094,6
"(34.1478, -118.4071)",34.1478,-118.4071,49
"(34.1903, -118.3703)",34.1903,-118.3703,22
"(34.1504, -118.3965)",34.1504,-118.3965,75
"(34.1524, -118.3703)",34.1524,-118.3703,72
"(34.194, -118.3768)",34.194,-118.3768,15
"(34.1776, -118.3823)",34.1776,-118.3823,21
"(34.2012, -118.3801)",34.2012,-118.3801,5
"(34.1594, -118.3965)",34.1594,-118.3965,12
"(34.1436, -118.3953)",34.1436,-118.3953,77
"(34.1618, -118.3704)",34.1618,-118.3704,12
"(34.1284, -118.3568)",34.1284,-118.3568,45
"(34.1387, -118.3934)",34.1387,-118.3934,15
"(34.1397, -118.3817)",34.1397,-118.3817,23
"(34.1577, -118.3615)",34.1577,-118.3615,21
"(34.2067, -118.4025)",34.2067,-118.4025,2
"(34.1959, -118.3921)",34.1959,-118.3921,2
"(34.194, -118.4052)",34.194,-118.4052,86
"(34.2058, -118.3921)",34.2058,-118.3921,9
"(34.1794, -118.3627)",34.1794,-118.3627,5
"(34.1512, -118.3864)",34.1512,-118.3864,8
"(34.1922, -118.3987)",34.1922,-118.3987,3
"(34.1922, -118.4072)",34.1922,-118.4072,2
"(34.1427, -118.4052)",34.1427,-118.4052,17
"(34.1904, -118.367)",34.1904,-118.367,2
"(34.1867, -118.4052)",34.1867,-118.4052,100
"(34.167, -118.3759)",34.167,-118.3759,32
"(34.1867, -118.3779)",34.1867,-118.3779,2
"(34.1419, -118.3741)",34.1419,-118.3741,9
"(34.1649, -118.3615)",34.1649,-118.3615,52
"(34.1493, -118.3527)",34.1493,-118.3527,2
"(34.1867, -118.391)",34.1867,-118.391,11
"(34.194, -118.3976)",34.194,-118.3976,12
"(34.1886, -118.3866)",34.1886,-118.3866,5
"(34.1994, -118.4181)",34.1994,-118.4181,2
"(34.1985, -118.4052)",34.1985,-118.4052,22
"(34.194, -118.4119)",34.194,-118.4119,12
"(34.1872, -118.4094)",34.1872,-118.4094,1
"(34.1577, -118.367)",34.1577,-118.367,4
"(34.1427, -118.3908)",34.1427,-118.3908,38
"(34.1722, -118.3604)",34.1722,-118.3604,4
"(34.2084, -118.4236)",34.2084,-118.4236,14
"(34.1876, -118.409)",34.1876,-118.409,6
"(34.1867, -118.3637)",34.1867,-118.3637,7
"(34.1867, -118.4041)",34.1867,-118.4041,23
"(34.1673, -118.3816)",34.1673,-118.3816,47
"(34.194, -118.421)",34.194,-118.421,3
"(34.1467, -118.3964)",34.1467,-118.3964,20
"(34.1577, -118.3801)",34.1577,-118.3801,7
"(34.1831, -118.3615)",34.1831,-118.3615,6
"(34.2057, -118.379)",34.2057,-118.379,5
"(34.1849, -118.3746)",34.1849,-118.3746,31
"(34.1776, -118.4094)",34.1776,-118.4094,3
"(34.1867, -118.3877)",34.1867,-118.3877,6
"(34.1722, -118.4094)",34.1722,-118.4094,19
"(34.1794, -118.391)",34.1794,-118.391,6
"(34.1687, -118.4031)",34.1687,-118.4031,2
"(34.1904, -118.4119)",34.1904,-118.4119,3
"(34.2085, -118.39)",34.2085,-118.39,3
"(34.2181, -118.4207)",34.2181,-118.4207,3
"(34.1903, -118.4052)",34.1903,-118.4052,18
"(34.1958, -118.4138)",34.1958,-118.4138,11
"(34.1722, -118.3778)",34.1722,-118.3778,4
"(34.194, -118.379)",34.194,-118.379,53
"(34.1404, -118.4046)",34.1404,-118.4046,1
"(34.174, -118.4095)",34.174,-118.4095,27
"(34.194, -118.3779)",34.194,-118.3779,11
"(34.2057, -118.3747)",34.2057,-118.3747,6
"(34.1722, -118.3659)",34.1722,-118.3659,9
"(34.2026, -118.3856)",34.2026,-118.3856,1
"(34.2182, -118.4189)",34.2182,-118.4189,1
"(34.1558, -118.3943)",34.1558,-118.3943,6
"(34.2118, -118.4108)",34.2118,-118.4108,6
"(34.1869, -118.4094)",34.1869,-118.4094,4
"(34.1952, -118.379)",34.1952,-118.379,8
"(34.1713, -118.3834)",34.1713,-118.3834,1
"(34.1697, -118.3568)",34.1697,-118.3568,2
"(34.194, -118.3987)",34.194,-118.3987,18
